name,preprocessed_ALL
Lepirudin,Lepirudin Lepirudin recombinant hirudin formed amino acid act highly specific direct thrombin inhibitor L41539 L41569 Natural hirudin endogenous anticoagulant found Hirudo medicinalis leech L41539 Lepirudin produced yeast cell identical natural hirudin except absence sulfate tyrosine residue position substitution leucine isoleucine position N-terminal end A246609 Lepirudin used anticoagulant patient heparin-induced thrombocytopenia HIT immune reaction associated high risk thromboembolic complication A3 L41539 HIT caused expression immunoglobulin-G IgG antibody bind complex formed heparin platelet factor activates endothelial cell platelet enhances formation thrombus A246609 Bayer ceased production lepirudin Refludan effective May L41574 Lepirudin indicated anticoagulation adult patient acute coronary syndrome ACS unstable angina acute myocardial infarction without ST elevation patient ACS lepirudin intended use aspirin L41539 Lepirudin also indicated anticoagulation patient heparin-induced thrombocytopenia HIT associated thromboembolic disease order prevent thromboembolic complication L41539
Cetuximab,Cetuximab Cetuximab recombinant chimeric humanmouse IgG1 monoclonal antibody competitively bind epidermal growth factor receptor EGFR competitively inhibits binding epidermal growth factor EGF A227973 EGFR member ErbB family receptor tyrosine kinase found normal tumour cell responsible regulating epithelial tissue development homeostasis A228083 EGFR implicated various type cancer often overexpressed malignant cell A227973 EGFR overexpression linked advanced disease poor prognosis A227963 EGFR often mutated certain type cancer serf driver tumorigenesis A228083 vitro cetuximab shown mediate anti-tumour effect numerous cancer cell line human tumour xenograft A227963 Approved FDA February brand name ERBITUX cetuximab used treatment head neck cancer metastatic KRAS wild-type colorectal cancer metastatic colorectal cancer BRAF V600E mutation A227963 L39045 also investigated advanced colorectal cancer EGFR-expressing non-small cell lung cancer NSCLC unresectable squamous cell skin cancer L31418 Cetuximab administered via intravenous infusion used monotherapy combination chemotherapy including platinum agent radiation therapy leucovorin fluorouracil irinotecan L30448 Cetuximab indicated treatment locally regionally advanced squamous cell carcinoma head neck combination radiation therapy indicated treating recurrent locoregional disease metastatic squamous cell carcinoma head neck combination platinum-based therapy fluorouracil indicated recurrent metastatic squamous cell carcinoma head neck progressing platinum-based therapy L30448 Cetuximab also indicated K-Ras wild-type EGFR-expressing metastatic colorectal cancer determined FDA-approved test combination FOLFIRI chemotherapy combination includes leucovorin fluorouracil irinotecan combination irinotecan patient refractory irinotecan-based chemotherapy monotherapy patient failed oxaliplatin- irinotecan-based chemotherapy intolerant irinotecan L30448 Additionally cetuximab also indicated metastatic colorectal cancer BRAF V600E mutation-positive determined FDA-approved test combination encorafenib prior therapy L39045 Cetuximab indicated treatment Ras-mutant colorectal cancer result Ras mutation test unknown L30448
Dornase alfa,Dornase alfa Dornase alfa biosynthetic form human deoxyribunuclease DNase enzyme produced genetically modified Chinese hamster ovary CHO cell using recombinant DNA technology -amino acid sequence dornase alfa identical endogenous human enzyme Dornase alfa cleaves extracellular DNA ´-phosphodinucleotide ´-phosphooligonucleotide end product without affecting intracellular DNA individual cystic fibrosis extracellular DNA extremely viscous anion released degenerating leukocyte accumulate inflammatory response infection Enzymatic breakdown extracellular DNA appears reduce sputum viscosity viscoelasticity Used adjunct therapy treatment cystic fibrosis
Etanercept,Etanercept Dimeric fusion protein consisting extracellular ligand-binding portion human kilodalton p75 tumor necrosis factor receptor TNFR linked Fc portion human IgG1 L14862 A216522 Fc component etanercept contains CH2 domain CH3 domain hinge region CH1 domain IgG1 Etanercept produced recombinant DNA technology Chinese hamster ovary CHO mammalian cell expression system consists amino acid used treat manage variety inflammatory condition including rheumatoid arthritis RA ankylosing spondylitis juvenile idiopathic poly-articular arthritis JIA Etanercept indicated treatment moderately severely active rheumatoid arthritis adult chronic moderate severe plaque psoriasis patient year age older L14862 also used manage sign symptom polyarticular idiopathic arthritis aged year older Etanercept also used manage symptom psoriatic arthritis ankylosing spondylitis
Bivalirudin,Bivalirudin Bivalirudin synthetic residue peptide thrombin inhibitor reversibly inhibits thrombin bound active site thrombin activate fibrinogen fibrin crucial step formation thrombus administered intravenously cause blood stagnation important monitor change hematocrit activated partial thromboplastin time international normalized ratio blood pressure compound belongs class organic compound known polypeptide peptide containing ten amino acid residue treatment heparin-induced thrombocytopenia prevention thrombosis Bivalirudin indicated use patient undergoing percutaneous coronary intervention PCI patient moderate high risk acute coronary syndrome due unstable angina non-ST segment elevation PCI planned
Leuprolide,Leuprolide Leuprolide synthetic -residue peptide analogue gonadotropin-releasing hormone GnRH Unlike endogenous decapeptide GnRH leuprolide contains single D-amino acid D-leucyl residue help increase circulating half-life three four minute approximately three hour A203222 GnRH mimic leuprolide capable binding GnRH receptor GnRHR inducing downstream modulation gonadotropin hormone sex steroid level Prolonged activation GnRHR result significant downregulation sex steroid level primarily responsible clinical efficacy leuprolide diverse condition including advanced prostate cancer endometriosis central precocious puberty A203126 A203132 Leuprolide first approved daily subcutaneous injection tradename Lupron™ Abbvie Endocrine Inc L13850 Since initial approval various long-acting intramuscular subcutaneous product developed patient dosed every six month L13781 L13790 Leuprolide remains frontline therapy condition indicated use Leuprolide indicated treatment advanced prostate cancer L13781 L34415 palliative treatment advanced prostate cancer L13790 also used treatment pediatric patient central precocious puberty CPP L13784 L13787 combination oral norethisterone also known norethindrone leuprolide also indicated initial treatment symptom endometriosis L10310 Finally combination iron supplementation leuprolide indicated preoperative hematological improvement anemic patient uterine leiomyomata uterine fibroid L13814
Peginterferon alfa-2a,Peginterferon alfa-2a Peginterferon alfa-2a form recombinant interferon used part combination therapy treat chronic Hepatitis-C infectious liver disease caused infection Hepatitis-C Virus HCV HCV single-stranded RNA virus categorized nine distinct genotype genotype common United States affecting chronic HCV patient L852 Treatment option chronic Hepatitis-C advanced significantly since development Direct Acting Antivirals DAAs resulting le use Peginterferon alfa-2a Peginterferon alfa-2a derived alfa-2a moeity recombinant human interferon act binding human type interferon receptor Activation dimerization receptor induces body innate antiviral response activating janus kinasesignal transducer activator transcription JAKSTAT pathway Use Peginterferon alfa-2a associated wide range severe adverse effect including aggravation development endocrine autoimmune disorder retinopathy cardiovascular neuropsychiatric complication increased risk hepatic decompensation patient cirrhosis use Peginterferon alfa-2a largely declined since newer interferon-free antiviral therapy developed joint recommendation published American Association Study Liver Diseases AASLD Infectious Diseases Society America IDSA longer recommend Peginterferon alfa-2a treatment Hepatitis-C A19593 Peginterferon alfa-2a used alongside DB00811 intent cure achieve sustained virologic response SVR week therapy SVR eradication HCV infection associated significant long-term health benefit including reduced liver-related damage improved quality life reduced incidence Hepatocellular Carcinoma reduced all-cause mortality A19626 Peginterferon alfa-2a available fixed dose injector tradename Pegasys used treatment chronic Hepatitis-C Approved FDA Pegasys indicated treatment HCV DB00811 antiviral drug FDA Label combined together Peginterferon alfa-2a DB00811 shown achieve SVR genotype genotype-- week treatment Peginterferon alfa-2a indicated treatment HCV combination antiviral drug patient year age compensated liver disease FDA Label May used monotherapy patient contraindication significant intolerance anti-viral therapy Peginterferon alfa-2a also indicated monotherapy adult patient HBeAg positive HBeAg negative chronic hepatitis-B infection compensated liver disease evidence viral replication liver inflammation FDA Label
Alteplase,Alteplase Alteplase recombinant tissue plasminogen activator rt-PA used thrombolytic agent L43125 cleaves plasminogen form plasmin enzyme involved degradation fibrin clot absence fibrin alteplase-mediated conversion plasminogen limited thanks high affinity alteplase fibrin A252330 L43125 Alteplase purified glycoprotein amino acid expressed Chinese hamster ovary CHO cell A252345 L43125 first approved FDA management thromboembolic disease including acute myocardial infarction AMI A252270 use alteplase manage AMI decreased thanks availability safer treatment angioplasty stenting However use treatment acute ischemic stroke AIS increased year A252340 New thrombolytic agent derived tissue plasminogen activator desmoteplase tenecteplase reteplase also developed A252270 A252345 Alteplase also available Cathflo Activase intracatheter instillation restoration function central venous access device L34864 Alteplase indicated treatment acute ischemic stroke AIS use acute myocardial infarction AMI reduction mortality incidence heart failure Alteplase also indicated lysis acute massive pulmonary embolism defined acute pulmonary embolus obstructing blood flow lobe multiple lung segment acute pulmonary embolus accompanied unstable hemodynamics L43125
Sermorelin,Sermorelin Sermorelin acetate acetate salt amidated synthetic -amino acid peptide GRF-- NH corresponds amino-terminal segment naturally occurring human growth hormone-releasing hormone GHRH GRF consisting amino acid residue treatment dwarfism prevention HIV-induced weight loss
Interferon alfa-n1,Interferon alfa-n1 Interferon alfa-n1 consists purified natural-n natural alpha interferon subtypes least two glycosylated differs recombinant alpha interferon individual non-glycosylated protein produced individual alpha interferon gene treatment venereal genital wart caused Human Papiloma Virus
