name,group,usage
هیدروکسی منیزیم,آتی اسید و اسهال آور,به عنوان آنتی اسید و ملین مورد استفاده قرار میگیرد به ویژه بیماران بستری در بخشی بیمارستانی به علت کاهش تحرک و راه نرفتن دچار یبوست می شوند که این دارو مفید است .
کلونیدین,ضد فشار خون,در کنترل فشار خون به ویژه همراه بیماریی کلیوی و درمان محرومیت از مواد مخدر در کودکان بسیار فعال کم توجه در سردردی میگرنی
دوبوتامین,محرک قلب,درمان نارسایی حاد قلبی و در شوک قلبی یا عفونی یا جراحی قلب و افزایش مدت ضربان قلب
دگزامتازون,ضد التهاب مهار ایمنی,التهاب دهان داروی مخصوص تست تشخیص بیماریی غده فوق کلیه ورم مغزی استفراغ التهاب مفاصل درمان کمکی در مننژیت باکتریال ورم مجاری هوایی
فیناستراید,مهار کننده آندروژنی,درمان هیپرپلازی خوش خیم پروستات آلوپسی طاسی مردانه درمان هیرسوتیسم زنان
بوسپیرون کلراید,ضد اضطراب,اضطراب
ایتراکونازول,ضد قارچ,عفونت قارچی آسپرژیلوس بلاستومایکوزیس هیستوپلاسموزیس و عفونتی کاندیدا مننژیت کرپیتوکوکی کراتیت قارچی
کابرگولین,مهار ترشح پرولاکتین,بیماری افزایش ترشح پرولاکتین و بیماری پارکینسون
بوپرنورفین,ضد درد مخدر,تسکین دردی شدید قبل از بیهوشی کنترل و برگرداندن مهار تنفسی ناشی از فنتانیل در بیهوشی
استیل کولین کلراید,تنگ کننده مردمک,برای عمل جراحی عدسی چشم کاتاراکت = آب مروارید
بریمونیدین تارترات,میوتیک ضد آب سیاه چشم,آب سیاه چشم برای کاهش فشار چشم گلوکوم
کافئین,محرک ملایم سیستم عصبی,افزاش بیداری هشیاری و تسریع کارکرد عضلات و افزایش عملکرد سیستم تنفسی - به همراه ضد دردها آسپیرین یا کدئین مصرف می شود .
آپو مورفین هیدروکلراید,استفراغ آور,ایجاد استفراغ در مسمومیت دارویی
بلادونا - آرگوتامین پی بی,پیشگیری از سردردی میگرنی,پیسگیری از سردردی میگرنی مشکلات هیجانی و سردرد قبل از قاعدگی و کاهش علائم یائسگی
ارگوتامین تارترات,ضد میگرن ضد سر درد عروقی,درمان سردردی عروقی میگرن
کلشی سین,ضد نقرس ضد التهاب,درمان نقرس درمان آ میلوئیدوز آرتریت بهجت سیروز کبدی
داکاربازین,ضد سرطان,سرطانی خونی سرطان پوست ملانوم بدخیم
سیکلوفسفاماید,ضد سرطان,درمان سرطانی لنفوم اوسمی سرطان تخمدان پستان و در بیماری نارسایی کلیه سندرم نفروتیک و در رماتیسم و بیماری بافت همبند
کلرامبوسیل,ضد نئوپلاسم ضد سرطان,درمان سرطانی مثل لوسمی لنفوم هوچکین و غیر هوچکینبه طور جانبی در درمان روماتوئید آرتریت و سندرم بهجت استفاده میشود .
کلرمتین کلراید,ضد سرطان مهار سیستم ایمنی,لنفوم لنفوسارکوم سرطان ریه و سرطان و
کارموستین,ضد سرطان,در درمان سرطانی مغز و ساقه مغز لنفوم مولتیپل میلوما
لوموستین,ضد سرطان,سرطانی مغز لنفوم هوچکین
بوسولفان,ضد سرطان,درمان کنترل و مهار سرطان لوسمی میلوبلاستیک مزمن
کاربوپلاتین,ضد نئوپلاسم,سرطان تخمدان سرطان ریه سرطلنی رحمی لوسمی تومور بیضه
سین پلاتین,ضد سرطان,درمان کمکی در سزطان بیضه ریه مثانه و توموری تخمدان
ستریمید سی,ضد عفونی کننده,ضد عفونی زخمی ناشی از سوختگی و تمیز کننده پوست و التهاب پوست و شستشوی حین جراحی در کیست هیداتید
پروکائین آمید,ضد آریتمی قلبی,در بی نظمیی ریتم قلب ---- کاربرد دارد .
اکسی بوتینین,ضد اسپاسم,درد و تحریک مثانه و شب ادراری بی اختیاری ادراری
آمانتادین,ضد ویروس ضد پارکینسون,پیش گیری و یا درمان علامتی آنفولانزا ناشی از ویروس تیپ درمان عوارض دارویی واکنش اکسترا پیرامیدال و پارکینسون
آمینو اسید,تغذیه داخل وریدی و پر کالری,عارضه سو تغذیه یا مشکلات تغذیه ای ناشی از کمبود پروتئین و کالری
جنتامایسین,آنتی بیوتیک,عفونتی گرم منفی و برخی از گونهی استاف زخم جراحی عفونت ادراری عفونت ناحیه لگن
آمیکاسین,آنتی بیوتیک,عفونتی خطرناک دستگاه اداری استخوان پرده مغز و دستگاه تنفس
نئومایسین,آنتی بیوتیک,آمادگی قبل از عمل جراحی و کاهش میکروبی روده ای
استرپتومایسین,آنتی بیوتیک,در تب مالت و در بیماری سل به عنوان داروی کمکی بروسلوزیس
بوپروپیون,ضد افسردگی,افسردگی و ترک سیگار
کلروکین فسفات,ضد مالاریا,عفونتی مالاریایی عفونت با آمیب داخل و خارج روده ای کنترل التهاب رماتیسم مفصلی زخم روده بزرگ و التهاب مفصل آسم بیماریی التهابی ناشناخته پوستی مثل درماتومیوزیت لیکن پلان اریتم ندوزم
گاباپنتین,ضد تشنج صرع,در صرع پارشیل یا تشنج جنرالیزه عمومی
کالسیتریول,ضد هیپوکلسمی,درمان کمبود کلسیم به ویژه در بیمارانی که تحت درمان با دیالیز قرار دارند . درمان هیپو پاراتیروئیدیسم بیماری ریکتز کمبود ویتامین
کالسی پوتریول,ضد پسوریازیس,ضد پسوریازیس
دفروکسامین,دفع کننده آهن,مسمومیت با آهن بیماران تالاسمی ماژور . هموسیدروز مسمومیت با آلومینیوم و به منظور تشحیص افزایش آهن خون
سایمتیدین,ضد زخم و اسید معده,زخم معده برگشت مواد معده به مری التهاب و اختلال در معده
آزاتیوپرین,سرکوب ایمنی ضد رماتیسم,در پیوند کلیه سرکوب و مهار بیماری آرتریتت روماتوئید
دانوربیسین,ضد سرطان آنتی بیوتیک,سرطانی خون
دیترانول,ضد پسوریازیس,پسوریازیس مطمن غیر حاد بدون ضایعات تاول دار پوسچولی
آنتوسیانوزید,درمان اختلالات عروق,نارسایی وریدی عروق لنفاوی به ویژه هنگامی که اختلالات عروقی شکننده باشد و خونریزی نقطهای پتشی واکیموز خون مردگی ایجاد کند .
متیل دوپا,ضد فشار خون,فشار خون سندرم رینود
سیپروترون کامپاند,ضد آندروژن و استروژن,درمان آکنه و پرمویی غیر طبیعی هیر سوتیسم
