generic_name,brand_name,shekl_daroei,pharmacologic_category,goroh_darmani,mavared_masraf,nahve_masraf,mavared_mane,mavared_ehtiyat_masraf,avarez_shayeh,masraf_hamelegi,moshkel_kabedi,test_moredeh_niyaz
قرص سرماخوردگی بزرگسالان(استامینوفن. کلروفنیرامین ملات. فنیل افرین هیدروکلراید),اگزاکلد®,قرص,ضد درد. آنتاگونیست هیستامین. سرکوب کننده,-,به طور موقت علائم سرماخوردگی و آنفولانزا را تسکین می دهد,1 قرص هر 6 ساعت,همراه با قرص های دیگری که دارای استامینوفن هستند. در کودکان زیر 12 سال و همراه با داروهای ضدافسردگی,بیماران دارای بیماری قلبی. کلیوی . فشار خون بالابیماری تیروئید. دیابت. مشکل ادرار به دلیل بزرگ شدن غده پروستات. سرفه مداوم یا مزمن مانند بروز سیگار ، آسم ، برونشیت مزمن یا آمفیزم. سرفه همراه با خلط زیاد,واکنش های آلرژیک- عوارض آنتی کولینرژیک- اختلالات خونی- زردی,مشخص نشده,به دلیل اینکه این محصول دارای استامینوفن می باشد ممکن است آسیب کبدی ایجاد نماید در صورتی که بیشتر از 6 دوز در 24 ساعت مصرف شود. یا در حین مصرف آن از نوشیدنی های الکلی استفاده گردد.,-
ایمیپنیم,ساپرانم,ویال,کارباپنیم,انتی باکتریال,برای درمان عفونتهای دستگاه تنفسی تحتانی ناشی از سویه های مستعد استافیلوکوکوس اورئوس (ایزوله های تولید کننده پنی سیلیناز) ، گونه های اسینتوباکتر ، گونه های انتروباکتر ، اشرشیا کولی ، هموفیلیوس آنفلوانزا، گونه های کلبسیلا .,در بیمارانی که حساسیت به هر یک از اجزای این محصول را نشان داده اند منع مصرف دارد.,واکنشهای جدی و گاه وخیم ناشی از مرگ و میر (آنافیلاکسی) در بیمارانی که تحت درمان با بتالاکتام قرار گرفته اند ، گزارش شده است. این واکنش ها بیشتر در افراد با سابقه حساسیت به آلرژن های متعدد رخ می دهد.,افزایش احتمال تشنج به دلیل تعامل با اسید والپروئیک /تشنج/اسهال,Cرده,کراتینین کمتر از 90 میلی لیتر در دقیقه دارند ، نیاز به کاهش دوز ایمیپنم و سیلاستاتین برای تزریق دارند.,AST (SGOT) (SGPT) ، افزایش پروتئین ادرار ، کاهش نوتروفیل ها.
مرپنم,اکسیپنم,ویال,کارباپنم,انتی باکتریال,برای تزریق برای درمان عفونت های پیچیده و پوستی به دلیل استافیلوکوکوس اورئوس،استرپتوکوک پیوژنز،استرپتوکوک آگالاکتیا ، گروه ویریدان استرپتوکوکی ، انتروکوکوس فکالیس (حساس به وانکومایسینسین),دوز توصیه شده مروپنم برای تزریق 500 میلی گرم در هر 8 ساعت برای عفونتهای پوستی و 1 گرم در هر 8 ساعت برای عفونت های داخل شکمی داده می شود. در هنگام درمان عفونت های پیچیده پوست و ساختار پوست ناشی از پنی سیلین ائروژینوزا، دوز 1 گرم هر 8 ساعت توصیه می شود.,حساسیت به هر مؤلفه این محصول یا به داروهای دیگر در همان کلاس یا در بیمارانی که واکنش آنافیلاکتیکی نسبت به بتا-لاکتامها نشان داده اند ، منع مصرف دارد.,واکنشهای جدی و گاه وخیم ناشی از مرگ و میر (آنافیلاکسی) در بیمارانی که تحت درمان با β-لاکتام قرار گرفته اند ، گزارش شده است. این واکنش ها بیشتر در افراد با سابقه حساسیت به آلرژن های متعدد رخ می دهد.,عوارض جانبی پوستی شدید (SCAR) مانند سندرم استیونز-جانسون، نکرولیز سمی اپیدرمال ، واکنش دارو با ائوزینوفیلی و علائم سیستمیک اریتما مولتیفرم و نبض مایع اگزانزمی حاد. در بیمارانی که مروپنم دریافت کرده اند گزارش شده است [رجوع کنید به عوارض جانبی. اگر علائم و علائم حاکی از این واکنشها باشد ، باید مروپنم فوراً خارج شود و یک درمان جایگزین در نظر گرفته شود,-,در مورد بیماران با درجات مختلفی از اختلال کلیوی ، بروز نارسایی قلبی ، نارسایی کلیه ، تشنج و شوک گزارش شده با مروپنم ، در بیمارانی که دارای نقص متوسط ​​کلیوی شدید هستند( کراتینین 10 تا 26 میلی لیتر در دقیقه) افزایش یافته است.,-
سفیکسیم,لوپراکس,سوسپانسیون,سفالوسپورین,انتی باکتریال,در درمان بزرگسالان و کودکان شش ماهه یا بالاتر با عفونت های ادراری.,• چندین بار روی بطری ضربه بزنید تا محتویات پودر قبل از بازسازی شل شود نصف کل مقدار آب را اضافه کنیدوخوب تکان دهید سپس باقیمانده آب رااضافه کنید و خوب تکان دهید.,در بیماران با حساسیت شناخته شده به سفیکسیم یا سفالوسپورین های دیگر منع مصرف دارد.,قبل از شروع درمان با سفیکسیم ، باید بررسی شود که آیا بیمار واکنش حساسیت قبلی به سفالوسپورین ها ، پنی سیلین ها یا سایر داروها داشته است یا خیر. اگر این محصول به بیماران حساس به پنی سیلین داده شود ، باید احتیاط کرد زیرا حساسیت متقابل در بین داروهای ضد باکتری بتا-لاکتام به طور واضح ثبت شده است و ممکن است در حدود 10٪ از بیماران با سابقه آلرژی به پنی سیلین بروز کند. اگر یک واکنش آلرژیک به سفیکسیم رخ داد ، دارو را قطع کنید.,شایعترین عارضه جانبی مشاهده شده عوارض  گوارشی بود که در 30٪ از بیماران بالغ در دو بار در روز یا رژیم روزانه یک بار گزارش شده است.,Bرده,دوز سفیکسیم باید در بیماران مبتلا به اختلال کلیوی و همچنین در بیماران تحت دیالیز صفاقی محیطی مداوم وهمودیالیز تنظیم شود. بیماران مبتلا به دیالیز باید با دقت تحت کنترل قرار گیرند.,-
سفیکسیم,لوپراکس,قرص,سفالوسپورین,انتی باکتریال,در درمان بزرگسالان و کودکان شش ماهه یا بالاتر با عفونت های ادراری.,• چندین بار روی بطری ضربه بزنید تا محتویات پودر قبل از بازسازی شل شود نصف کل مقدار آب را اضافه کنیدوخوب تکان دهید سپس باقیمانده آب رااضافه کنید و خوب تکان دهید.,در بیماران با حساسیت شناخته شده به سفیکسیم یا سفالوسپورین های دیگر منع مصرف دارد.,قبل از شروع درمان با سفیکسیم ، باید بررسی شود که آیا بیمار واکنش حساسیت قبلی به سفالوسپورین ها ، پنی سیلین ها یا سایر داروها داشته است یا خیر. اگر این محصول به بیماران حساس به پنی سیلین داده شود ، باید احتیاط کرد زیرا حساسیت متقابل در بین داروهای ضد باکتری بتا-لاکتام به طور واضح ثبت شده است و ممکن است در حدود 10٪ از بیماران با سابقه آلرژی به پنی سیلین بروز کند. اگر یک واکنش آلرژیک به سفیکسیم رخ داد ، دارو را قطع کنید.,شایعترین عارضه جانبی مشاهده شده عوارض  گوارشی بود که در 30٪ از بیماران بالغ در دو بار در روز یا رژیم روزانه یک بار گزارش شده است.,Bرده,دوز سفیکسیم باید در بیماران مبتلا به اختلال کلیوی و همچنین در بیماران تحت دیالیز صفاقی محیطی مداوم وهمودیالیز تنظیم شود. بیماران مبتلا به دیالیز باید با دقت تحت کنترل قرار گیرند.,-
سفپیم,اکسی پیم,ویال,سفالوسپورین,انتی باکتریال,-,کرامپ های شکمی، درد معده، پا و کمر، خون ریزی لثه و بینی، تیرگی ادرار، گیج ، تشنج، مشکل در تنفس، تب و لرز، تورم عمومی، ضربان قلب نامنظم، سردرد، کاهش اشتها، تغییرات مود رفتاری، کرامپ های عضلانی( دست، پا و صورت)، گزگز و بی حسی پا و صورت، تهوع و استفراغ، ترمور، زرد شدن چشم و پوست.,در رده B قرار دارد.
سفازولین,سفازکس,ویال,سفالوسپورین,انتی باکتریال,پنومونی ، گونه های کلبسیلا، هموفیلوس آنفلوانزا، استافیلوکوکوس اورئوس (حساس به پنی سیلین و مقاوم به پنی سیلین) و استرپتوکوکهای بتا همولیتیک گروه.,سفازولین برای تزریق باید به یک توده عضلانی بزرگ تزریق شود. درد تزریق با سفازولین برای تزریق نادر است.,در رده B قرار دارد.,در افرادی که مشکل کلیوی دارند نیاز به تنظیم دوز می باشد.,-
سفالکسین,-,سوسپانسیون,سفالوسپورین,انتی باکتریال,سفالکسین برای درمان عفونت های ناشی از باکتری ها از جمله عفونت های تنفسی فوقانی ، عفونت گوش ، عفونت های پوستی ، عفونت های ادراری و عفونت های استخوانی استفاده می شود.,این دارو را از طریق دهان با یا بدون غذا طبق دستور پزشک ، معمولاً یک بار در روز مصرف کنید. در کودکان نیز ممکن است این دارو دو بار در روز (هر 12 ساعت) مصرف شود.,قبل از مصرف سفالکسین ، در صورت حساسیت به پزشک یا داروساز خود بگویید. در صورت حساسیت به پنی سیلین ها یا سفالوسپورین های دیگر ؛ یا اگر آلرژی دیگری دارید قبل از استفاده از این دارو ، تاریخچه پزشکی خود را به پزشک یا داروساز خود بگویید ، به ویژه در مورد: بیماری کلیه ، بیماری روده (کولیت). این دارو فقط در مواقعی که به وضوح در دوران بارداری لازم باشد ، باید استفاده شود. در مورد خطرات و فواید آن با پزشک خود صحبت کنید. این دارو به شیر مادر منتقل می شود. قبل از شیردهی با پزشک خود مشورت کنید.,از جمله اختلالات دستگاه گوارش مانند تهوع ، استفراغ ، اسهال و ناراحتی شکمی است. شایع ترین این عوارض اسهال است ، اما بندرت به اندازه به قدری شدید است که باعث قطع درمان گردد . سوء هاضمه نیز ممکن است رخ دهد.,ردهB,سفالکسین در صورت وجود اختلال در عملکرد کلیه باید با احتیاط مصرف شود ( میزان کراتینین <30 میلی لیتر در دقیقه ، با یا بدون دیالیز). در چنین شرایطی آزمایشات نشان دهنده عملکرد کلیه باید انجام شوند زیرا دوز ایمن ممکن است پایین تر از حد معمول باشد.,-
سفالکسین,-,کپسول,سفالوسپورین,انتی باکتریال,سفالکسین برای درمان عفونت های ناشی از باکتری ها از جمله عفونت های تنفسی فوقانی ، عفونت گوش ، عفونت های پوستی ، عفونت های ادراری و عفونت های استخوانی استفاده می شود.,این دارو را از طریق دهان با یا بدون غذا طبق دستور پزشک ، معمولاً یک بار در روز مصرف کنید. در کودکان نیز ممکن است این دارو دو بار در روز (هر 12 ساعت) مصرف شود.,قبل از مصرف سفالکسین ، در صورت حساسیت به پزشک یا داروساز خود بگویید. در صورت حساسیت به پنی سیلین ها یا سفالوسپورین های دیگر ؛ یا اگر آلرژی دیگری دارید قبل از استفاده از این دارو ، تاریخچه پزشکی خود را به پزشک یا داروساز خود بگویید ، به ویژه در مورد: بیماری کلیه ، بیماری روده (کولیت). این دارو فقط در مواقعی که به وضوح در دوران بارداری لازم باشد ، باید استفاده شود. در مورد خطرات و فواید آن با پزشک خود صحبت کنید. این دارو به شیر مادر منتقل می شود. قبل از شیردهی با پزشک خود مشورت کنید.,از جمله اختلالات دستگاه گوارش مانند تهوع ، استفراغ ، اسهال و ناراحتی شکمی است. شایع ترین این عوارض اسهال است ، اما بندرت به اندازه به قدری شدید است که باعث قطع درمان گردد . سوء هاضمه نیز ممکن است رخ دهد.,ردهB,سفالکسین در صورت وجود اختلال در عملکرد کلیه باید با احتیاط مصرف شود ( میزان کراتینین <30 میلی لیتر در دقیقه ، با یا بدون دیالیز). در چنین شرایطی آزمایشات نشان دهنده عملکرد کلیه باید انجام شوند زیرا دوز ایمن ممکن است پایین تر از حد معمول باشد.,-
سفتریکسون,لوراکسون,ویال,سفالوسپورین,انتی باکتریال,این دارو حاوی سفتریاکسون است. در صورتی که به سفتریاکسون یا مواد تشکیل دهنده موجود در این دارو حساسیت داریدمصرف نکنید.,Bرده,-,-
