id,name_tejary,goroh_daroei,goroh_darmani,name_farsi,shekl_daroei,masraf_hamelegi,mavared_masraf,mizan_masraf,mavared_mane,avarez_janebi,tavajohat,amozesh,description,sharayet_negah,nokte
1,Milk Of Magnesia,آتی اسید,آتی اسید و اسهال آور,هيدروکسي منیزيم,شربت,گروه B,به عنوان آنتی اسید و ملین مورد استفاده قرار میگیرد به ویژه بیماران بستری در بخش های بیمارستانی به علت کاهش تحرک و راه نرفتن دچار یبوست می شوند که این دارو مفید است.,5 تا 15 سی سی 4 بار در روز,"مورد خاصی ندارد ولی بهتر است در اسهال , استفراغ و نارسایی کلیه و خونریزی های دستگاه گوارش با احتیاط مصرف شود.","اسهال , مشکلات قلبی و اختلالات در نوار قلب (EEG1)",توصیه کنید یک لیوان آب بعد از دارو میل شود. مصرف دراز مدت آن وابستگی ایجاد می کند.,"بهتر است دارو همراه با مایعات کافی استفاده شود. قبل از مصرف, شیشه دارو را به خوبی تکان دهید.",MAGNESIUM HYDROXIDE,در دمای معمولی نگهداری شود.,---
2,Catapres,آدرژنیک,ضد فشار خون,کلونيدين,قرص 0.2 میلی گرمی,گروه C,"در کنترل فشار خون به ویژه همراه بیماری های کلیوی و درمان محرومیت از مواد مخدر , در کودکان بسیار فعال کم توجه, در سردرد های میگرنی",با نصف قرص سه بار در روز شروع و تا 0.2 میلی گرم (یک قرص ) ادامه یابد.,"حساسیت شدید دارویی , زنان باردار","خشکی دهان , تهوع , استفراغ , یبوست , نارسایی قلب , عصبانیت , بی قراری , کهیر , نازک شدن مو , نا توانی جنسی , خارش , عود فشار خون",معاینه چشم به طور مرتب انجام شود.  ارو باید به تدریج قطع شود.  فشار خون بیمار را مرتب چک کنید.,از مصرف همزمان آنتی هیستامین خودداری شود.بهتر است آخرین نوبت دارو در هنگام خواب استفاده شود.,CLONIDINE,در دمای معمولی اتاق نگهداری شود.,---
3,Dobutrex,آدرنرژِیک ها,محرک قلب,دوبوتامين,تزریقی ( انفوزیون وریدی),گروه C,درمان نارسایی حاد قلبی و در شوک قلبی یا عفونی یا جراحی قلب و افزایش مدت ضربان قلب,2 تا 5 میکروگرم به ازای هر کیلوگرم در دقیقه ( انفوزیون وریدی) تا به 10 تا 15 میکروگرم به ازای هر کیلوگرم برسد.,حساسیت شدید دارویی و بیماری تنگی هیپرتروفیک تحت آئورتی (IHSS),"حملات آسم , کاهش فشار خون , حساسیت شدید, تهوع , سردرد , تپش قلب , تنگی نفس",مایعات کافی  باید برای بیمار تامین شود.نوار قلب و فشار خون بیمار کنترل شود.,"در صورت تشدید علائم به پزشک اطلاع داده شود. ممکن است در محل تزریق درد ایجاد شود, در این صورت به پرستار اطلاع دهید.",DOBUTAMINE,محلول تهیه شده در جای خنک (2 تا 15 درجه) نگهداری شود.,---
4,Decadrol,آدرنو کورتیکوئید,"ضد التهاب , مهار ایمنی",دگزامتازون,"تزریقی , قرص , شربت",گروه C,"التهاب دهان , داروی مخصوص تست تشخیص بیماری های غده فوق کلیه , ورم مغزی , استفراغ , التهاب مفاصل, درمان کمکی در مننژیت باکتریال , ورم مجاری هوایی","در التهاب مغزی یک تا 2 آمپول هر 6 تا 12 ساعت - در مننژیت 0.6 میلی گرم به ازای هر کیلوگرم هر 6 ساعت در روز اول تا چهرم درمان , یا 10 میلی گرم تزریق وریدی و سپس هر4 میلی گرم  هر 6 ساعت",مشابه دیگر کورتون ها,"زخم دستگاه گوارش , بیخوابی , احساس انرژی و سرخوشی , تشنج",قطع  داروی استروئیدی باید به تدریج و طی یک هفته صورت گیرد.,بتامتازون خوراکی را باید همراه غذا یا شیر استفاده کرد.,DEXAMETHASONE,در دمای اتاق نگهداری شود.,---
5,Proscar,آزاستروئید,مهار کننده آندروژنی,فيناسترايد,قرص 5 میلی گرمی,گروه X,"درمان هیپرپلازی خوش خیم پروستات (BPH) , آلوپسی (طاسی مردانه) , درمان هیرسوتیسم زنان",یک قرص روزانه,حساسیت شدید دارویی,"کاهش میل جنسی , ضایعات جلدی, تورم پستان....","برای درمان رشدخوش خیم پروستات یک سال وقت لازم است.  برای بیمار دارای BPH, تست های پروستات از نظر بدخیمی انجام شود.وضعیت کلیه از نظر وجود سنگ یا انسداد مطالعه شود.",اگر بیمار دارو را قطع کند ریزش مو(مردانه) دوباره طی یک سال آغاز می شود.,FINASTERIDE,در دمای معمولی نگهداری شود.,---
6,Buspar,آزاسیپرودکاندیون,ضد اضطراب,بوسپيرون کلرايد,قرص 5  میلی گرمی,گروه B,اضطراب,قرص 5 میلی گرمی از راه خوراکی 3 بار در روز شروع و می توان  به تدریج افزایش داد.,حساسیت شدید,"سردرد , سرگیجه , تهوع , خشکی دهان , اسهال",علائم بهبودی طی 7 تا 10 روز آشکار می شود.بهترین نتایج طی 4 هفته اول ظاهر می شود.,دارو به همراه غذا مصرف شود . از قطع ناگهانی دارو ضد اضطراب اجتناب کنید.از راننگی و کارهای ظریف پرهیز کنید.,BUSPIRON HCL,در دمای اتاق نگهداری شود.,---
7,SpoRANOX,آزول,ضد قارچ,ايتراکونازول,کپسول 100 میلی گرم,گروه C,"عفونت قارچی آسپرژیلوس , بلاستومایکوزیس , هیستوپلاسموزیس  و عفونت های کاندیدا , مننژیت کرپیتوکوکی , کراتیت قارچی",2 تا 4 عدد کپسول روزانه توصیه می شود.,"حساسیت شدید به دارو , در حاملگی و شیر دهی توصیه نمی شود.","دل درد , اسهال , سردرد , بالا رفتن فشار خون , بزرگی پستان , کچلی موضعی , تورم اندام ها",تست های کبدی باید ارزیابی شوند.از کشت قارچ یا اسمیر آن مطمئن شوید.,دارو را با یک لیوان کامل آب میل شود. در صورت حساسیت دارو را قطع و به پزشک اطلاع دهید. در صورت مصرف دارو های قلبیمثل دیگوکسین به پزشک اطلاع دهید.تغییر رنگ ادرار یا مدفوع را به پزشک اطلاع دهید.,ITRACONAZOLE,در دمای اتاق نگهداری شود.,---
8,Dostinex,آگونیست گیرنده D2 دوپامین,مهار ترشح پرولاکتین,کابرگولين,قرص 0.5 و 1 میلی گرمی,گروه B,بیماری افزایش ترشح پرولاکتین و بیماری پارکینسون,با 0.25 میلی گرم 2 بار در هفته شروع و سپس 0.25 میلی گرم طی 2 هفته افزایش داده شود.,"حساسیت شدید دارویی , فشار خون حاملگی (کلامپسی), شیردهی","بی قراری , افسردگی , کاهش فشار خون , تهوع , یبوست , اسهال , درد پستان , سرگیجه , بی خوابی","میزان دارو را با اندازه گیری پرولاکتین سرم , ارزیابی کنید. کاهش فشار خون جزء مواردی است که باید مد نظر گرفته شود.",مصرف دارو تا 6 ماه پس از طبیعی شدن سطح هورمون پرولاکتین باید ادامه یابد.به همراه این دارو مصرف ایندرال یا قرص ضد حاملگی مجاز نیست.,CABERGOLIN,در دمای 20 تا 25 درجه نگهداری شود.,---
9,Buprenex,آگونیست مخدر,ضد درد (مخدر),بوپرنورفين,آمپول,گروه C,"تسکین درد های شدید , قبل از بیهوشی , کنترل و برگرداندن مهار تنفسی ناشی از فنتانیل در بیهوشی",0.3 میلی گرم  عضلانی یا وریدی ( آهسته تزریق شود) و 6 ساعت بعد در صورت نیاز تکرار شود.,حساسیت شدید دارویی,"سرگیجه , سردرد , کاهش فشار خون , تهوع , تعریق و بالا رفتن فشار خون",احتمال بروز محال سیستم  تنفسی وجود دارد.,احتمال سرگیجه وجود دارد . فیزیو تراپی قفسه سینه و انجام تنفس عمیق و یا سرفه ها در صورت استفاده بیهوشی بعد از عمل برای بیمار ضروری است.,BUPRENORPHIN,در دمای کمتر از 30 درجه نگهداری شود.در محفظه های محکم و به دور از نور نگهداری شود.,---
10,Miochol,آگونیست کولینرژیک -تحریک کننده گیرنده کولینرژیک عضلات,تنگ کننده مردمک,استيل کولين - کلرايد,آمپول,گروه C,برای عمل جراحی عدسی چشم (کاتاراکت = آب مروارید),0.5 تا 2 میلی لیتر از محلول آن در اتاقک قدامی چشم ریخته میشود .,"حساسیت مفرط , التهاب عنبیه","آتروفی عنبیه چشم , کدورت عدسی چشم , اختلال دید , کاهش فشار خون , شایعترین عارضا اشکال در تنفس , تعریق",این دارو نا پایدار است بنابر این  کادر درمانی باید بدانند مابقی دارو درو ریخته شود.,"سوزش چشم و سر درد جزء عوارض همراه است و باید به بیمار خاطر نشان کرد , در صورت گر گرفتگی و تعریق به پزشک اطلاع دهید.",ACETYLCHOLIN CHOLORIDE,دمای 15 تا 30 درجه مناسب است.,محلول هایی که شفاف نیستند و یا زمان مصرف آنها گذشت
